Year;Month;Nro_visitas;Tipo_visita;Barco;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2000;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;feb;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;NA;FITO;NA;ICTIO
2000;mar;multiple;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;abr;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;may;multiple;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;jun;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;jul;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2000;ago;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2000;sep;multiple;Propia;OB-CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;oct;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;nov;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2000;dic;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2001;ene;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2001;feb;unica;Propia;CC;Temp;Sal;NA;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2001;mar;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;BACT;FITO;ZOO;ICTIO
2001;abr;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;NA;NA;NA;NA;FITO;ZOO;ICTIO
2001;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;jun;unica;Propia;EH;Temp;NA;NA;NA;NA;NA;Cla;NA;NA;NA;NA;FITO;ZOO;ICTIO
2001;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
