EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2000,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,CC200004,2000,2,3,Propia,feb,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,NA,FITO,NA,ICTIO
2,CC200007,2000,3,9,Propia,mar,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
3,CC200009,2000,3,29,Propia,mar,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
4,CC200011,2000,4,25,Propia,abr,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
5,CC200013,2000,5,10,Propia,may,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
6,CC200015,2000,5,24,Propia,may,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
7,CC200017,2000,6,7,Propia,jun,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
8,CC200019,2000,7,14,Propia,jul,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
9,CC200022,2000,8,8,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
10,OB200009,2000,9,8,Propia,sep,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
11,CC200026,2000,9,28,Propia,sep,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
12,CC200029,2000,10,18,Propia,oct,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
13,CC200032,2000,11,3,Propia,nov,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
14,CC200034,2000,11,17,Propia,nov,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
15,CC200037,2000,12,1,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
16,CC200038,2000,12,14,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
17,CC200101,2001,1,9,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
18,CC200103,2001,1,29,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
19,CC200105,2001,2,20,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
20,CC200107,2001,3,15,Propia,mar,CC,Temp,Sal,NTS,NA,NA,NA,Cla,NA,NA,NA,BACT,FITO,ZOO,ICTIO
21,CC200109,2001,4,10,Propia,abr,CC,Temp,Sal,NTS,OD,NA,NA,Cla,NA,NA,NA,NA,FITO,ZOO,ICTIO
NA,NA,2001,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,EH200105,2001,6,6,Propia,jun,EH,Temp,NA,NTS,NA,NA,NA,Cla,NA,NA,NA,NA,FITO,ZOO,ICTIO
NA,NA,2001,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2001,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2001,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,OB200112,2001,10,30,Oportunista,oct,OB,Temp,Sal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2001,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,CC200110,2001,12,12,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
25,CC200201,2002,1,30,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
26,CC200203,2002,2,26,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
27,CC200204,2002,3,13,Propia,mar,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
28,CC200206,2002,4,12,Propia,abr,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
29,CC200207,2002,5,3,Propia,may,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
30,CC200209,2002,6,28,Propia,jun,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2002,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,CC200211,2002,8,15,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
32,CC200213,2002,9,13,Propia,sep,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2002,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2002,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2002,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2003,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2003,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,OB200301,2003,3,27,Propia,mar,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2003,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,OB200303,2003,5,16,Propia,may,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
35,CC200301,2003,6,12,Propia,jun,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
36,CC200303,2003,7,2,Propia,jul,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2003,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,CC200304,2003,9,17,Propia,sep,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,NA,ICTIO
38,CC200305,2003,10,3,Propia,oct,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,NA,FITO,ZOO,ICTIO
39,CC200306,2003,11,4,Propia,nov,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,NA,FITO,ZOO,ICTIO
40,CC200308,2003,12,3,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
41,CC200310,2003,12,18,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
42,CC200401,2004,1,12,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
43,CC200402,2004,2,6,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
44,CC200404,2004,2,25,Propia,feb,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
